Index.Name	Index.Region	MetricName	Direction	Thresh.Lo	Thresh.Hi	ScoreRegime	MetricName.Other
MBSS.2005.Bugs	COASTAL	nt_total	Decrease	14	22	135	ntaxa
MBSS.2005.Bugs	COASTAL	nt_EPT	Decrease	2	5	135	nept
MBSS.2005.Bugs	COASTAL	nt_Ephem	Decrease	1	2	135	nephem
MBSS.2005.Bugs	COASTAL	pi_tv_intolurb	Decrease	10	28	135	pintol_urb
MBSS.2005.Bugs	COASTAL	pi_Ephem	Decrease	0.8	11	135	pephem
MBSS.2005.Bugs	COASTAL	nt_ffg_scrap	Decrease	1	2	135	nscrape
MBSS.2005.Bugs	COASTAL	pi_habit_clmbrs	Decrease	0.9	8	135	pclimb
MBSS.2005.Bugs	EPIEDMONT	nt_total	Decrease	15	25	135	ntaxa
MBSS.2005.Bugs	EPIEDMONT	nt_EPT	Decrease	5	11	135	nept
MBSS.2005.Bugs	EPIEDMONT	nt_Ephem	Decrease	2	4	135	nephem
MBSS.2005.Bugs	EPIEDMONT	pi_tv_intolurb	Decrease	12	51	135	pintol_urb
MBSS.2005.Bugs	EPIEDMONT	pi_Chiro	Increase	24	63	135	pchiron
MBSS.2005.Bugs	EPIEDMONT	pi_habit_clngrs	Decrease	31	74	135	pcling
MBSS.2005.Bugs	HIGHLAND	nt_total	Decrease	15	24	135	ntaxa
MBSS.2005.Bugs	HIGHLAND	nt_EPT	Decrease	8	14	135	nept
MBSS.2005.Bugs	HIGHLAND	nt_Ephem	Decrease	3	5	135	nephem
MBSS.2005.Bugs	HIGHLAND	pi_tv_intolurb	Decrease	38	80	135	pintol_urb
MBSS.2005.Bugs	HIGHLAND	pi_Tanyt	Decrease	0.1	4	135	ptany
MBSS.2005.Bugs	HIGHLAND	pi_ffg_scrap	Decrease	3	13	135	pscrape
MBSS.2005.Bugs	HIGHLAND	pi_habit_swmmrs	Decrease	3	18	135	pswim
MBSS.2005.Bugs	HIGHLAND	pi_Dipt	Increase	26	50	135	pdipt
MBSS.2005.Fish	COASTAL	ni_m2	Decrease	0.45	0.72	135	ABUNSQM
MBSS.2005.Fish	COASTAL	nt_benthic	Decrease	0.01	0.22	135	NUMBENTSP
MBSS.2005.Fish	COASTAL	pi_tv_toler	Increase	68	97	135	PTOL
MBSS.2005.Fish	COASTAL	pi_genomninvrt	Increase	92	99.9	135	PGEOMIV
MBSS.2005.Fish	COASTAL	pi_rbs	Decrease	0.1	2	135	PROUND
MBSS.2005.Fish	COASTAL	pi_dom01	Increase	40	69	135	PABDOM
MBSS.2005.Fish	EPIEDMONT	ni_m2	Decrease	0.25	1.25	135	ABUNSQM
MBSS.2005.Fish	EPIEDMONT	nt_benthic	Decrease	0.09	0.26	135	NUMBENTSP
MBSS.2005.Fish	EPIEDMONT	pi_tv_toler	Increase	45	68	135	PTOL
MBSS.2005.Fish	EPIEDMONT	pi_genomninvrt	Increase	80	99.9	135	PGEOMIV
MBSS.2005.Fish	EPIEDMONT	x_biomass_m2	Decrease	4	8.6	135	BIOM_MSQ
MBSS.2005.Fish	EPIEDMONT	pi_lithophil	Decrease	32	61	135	P_LITH
MBSS.2005.Fish	HIGHLAND	ni_m2	Decrease	0.31	0.65	135	ABUNSQM
MBSS.2005.Fish	HIGHLAND	nt_benthic	Decrease	0.11	0.25	135	NUMBENTSP
MBSS.2005.Fish	HIGHLAND	pi_tv_toler	Increase	39	80	135	PTOL
MBSS.2005.Fish	HIGHLAND	pi_genomninvrt	Increase	61	96	135	PGEOMIV
MBSS.2005.Fish	HIGHLAND	pi_insectivore	Decrease	1	33	135	P_IS
MBSS.2005.Fish	HIGHLAND	pi_dom01	Increase	38	89	135	PABDOM
