"INDEX_NAME"	"SAMPLEID"	"INDEX_REGION"	"DATE"	"TAXAID"	"N_TAXA"	"EXCLUDE"	"NONTARGET"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Other_Taxa"	"Tribe"	"FFG"	"TolVal"	"Habit"	"FinalTolVal07"	"FinalTolVal08"
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"ENCHYTRAEIDAE"	1	FALSE	FALSE	"Annelida"	"Oligochaeta"	"Haplotaxida"	"Enchytraeidae"	""	""	""	"Collector"	10	"bu"	9.1	9.1
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"ISOTOMIDAE"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Collembola"	"Isotomidae"	""	""	""	""	NA	""	4.8	4.8
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"BAETIS"	13	FALSE	FALSE	"Arthropoda"	"Insecta"	"Ephemeroptera"	"Baetidae"	"Baetis"	""	""	"Collector"	5	"sw, cb, cn"	3.9	3.9
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"CORDULEGASTER"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Odonata"	"Cordulegastridae"	"Cordulegaster"	""	""	"Predator"	3	"bu"	2.4	2.4
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"AMPHINEMURA"	11	FALSE	FALSE	"Arthropoda"	"Insecta"	"Plecoptera"	"Nemouridae"	"Amphinemura"	""	""	"Shredder"	2	"sp, cn"	3	3
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"PROSTOIA"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Plecoptera"	"Nemouridae"	"Prostoia"	""	""	"Shredder"	2	"sp, cn"	4.5	4.5
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"ECCOPTURA"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Plecoptera"	"Perlidae"	"Eccoptura"	"Acroneuriini"	"Acroneuriini"	"Predator"	2	"cn"	0.6	0.6
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"GLOSSOSOMA"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Glossosomatidae"	"Glossosoma"	"Glossosomatini"	"Glossosomatini"	"Scraper"	1	"cn"	0	0
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"CHEUMATOPSYCHE"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Hydropsychidae"	"Cheumatopsyche"	""	""	"Filterer"	5	"cn"	6.5	6.5
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"DIPLECTRONA"	20	FALSE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Hydropsychidae"	"Diplectrona"	""	""	"Filterer"	5	"cn"	2.7	2.7
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"HYDROPSYCHE"	4	FALSE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Hydropsychidae"	"Hydropsyche"	""	""	"Filterer"	5	"cn"	7.5	7.5
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"LIMNEPHILIDAE"	1	TRUE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	""	""	""	"Shredder"	4	"cb, sp, cn"	3.4	3.4
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"PYCNOPSYCHE"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Limnephilidae"	"Pycnopsyche"	"Stenophylacini"	"Stenophylacini"	"Shredder"	4	"sp, cb, cn"	3.1	3.1
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"NEOPHYLAX"	5	FALSE	FALSE	"Arthropoda"	"Insecta"	"Trichoptera"	"Uenoidae"	"Neophylax"	""	""	"Scraper"	3	"cn"	2.7	2.7
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"OULIMNIUS"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Coleoptera"	"Elmidae"	"Oulimnius"	""	""	"Scraper"	5	"cn"	2.7	2.7
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"ECTOPRIA"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Coleoptera"	"Psephenidae"	"Ectopria"	""	""	"Scraper"	4	"cn"	2.2	2.2
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"ANCHYTARSUS"	1	FALSE	FALSE	"Arthropoda"	"Insecta"	"Coleoptera"	"Ptilodactylidae"	"Anchytarsus"	""	""	"Shredder"	4	"cn"	3.1	3.1
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"POLYPEDILUM"	14	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Polypedilum"	"Chironominae"	"Chironomini"	"Shredder"	7	"cb, cn"	6.3	6.3
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"MICROPSECTRA"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Micropsectra"	"Chironominae"	"Tanytarsini"	"Collector"	7	"cb, sp"	2.1	2.1
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"ORTHOCLADIINAE"	1	TRUE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Orthocladiinae"	"Orthocladiinae"	""	"Collector"	7	""	7.6	7.6
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"BRILLIA"	8	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Brillia"	"Orthocladiinae"	""	"Shredder"	7	"bu, sp"	7.4	7.4
"MIEGLE_2020"	"CHGX-432-S-1111"	"Narrow"	"1788-04-28"	"CHAETOCLADIUS"	2	FALSE	FALSE	"Arthropoda"	"Insecta"	"Diptera"	"Chironomidae"	"Chaetocladius"	"Orthocladiinae"	""	"Collector"	7	"sp"	7	7
"MIEGLE_2020"	"CHGX-435-R-1111"	"Narrow"	"1788-04-28"	"LUMBRICULIDAE"	2	FALSE	FALSE	"Annelida"	"Oligochaeta"	"Lumbriculida"	"Lumbriculidae"	""	""	""	"Collector"	10	"bu"	6.6	6.6
