"SAMPLEID","INDEX_REGION","INDEX_NAME","ni_total","nt_CruMol","pi_ffg_pred","pi_ffg_shred","pi_habit_cling","pi_CruMol","nt_tv_toler","pt_NonIns","pi_habit_climb","pi_EPT","pi_EPTNoBaeHydro","pi_tv_toler","nt_EPT","pi_Cru","pt_tv_intol","nt_NonIns","pi_ffg_scrap","pi_IsopGastHiru","pi_NonIns","pi_Pleco","pt_tv_toler","pi_ffg_col","pi_habit_sprawl","nt_Trich","nt_habit_cling","pi_tv_intol","SC_nt_CruMol","SC_pi_ffg_pred","SC_pi_ffg_shred","SC_pi_habit_cling","SC_pi_CruMol","SC_nt_tv_toler","SC_pt_NonIns","SC_pi_habit_climb","SC_pi_EPT","SC_pi_EPTNoBaeHydro","SC_pi_tv_toler","SC_nt_EPT","SC_pi_Cru","SC_pt_tv_intol","SC_nt_NonIns","SC_pi_ffg_scrap","SC_pi_IsopGastHiru","SC_pi_NonIns","SC_pi_Pleco","SC_pt_tv_toler","SC_pi_ffg_col","SC_pi_habit_sprawl","SC_nt_Trich","SC_nt_habit_cling","SC_pi_tv_intol","sum_Index","Index","Index_Nar"
"CHGX-432-S-1111","NARROW","MIEGLE_2020",95,0,2.10526315789474,40,83.1578947368421,0,5,5,32.6315789473684,65.2631578947368,24.2105263157895,29.4736842105263,10,0,30,1,9.47368421052632,0,1.05263157894737,14.7368421052632,25,0,28.4210526315789,6,14,23.1578947368421,NA,NA,22.9276182773959,NA,NA,NA,100,0,86.8262168272155,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209.753835104611,41.9507670209223,"Degraded"
"CHGX-435-R-1111","NARROW","MIEGLE_2020",119,1,16.8067226890756,8.40336134453782,32.7731092436975,2.52100840336134,14,11.7647058823529,7.56302521008403,19.327731092437,0,78.9915966386555,2,0,0,2,2.52100840336134,2.52100840336134,4.20168067226891,0,82.3529411764706,0,51.2605042016807,2,6,0,NA,NA,86.8108343215976,NA,NA,NA,86.1915966386555,60.2488920305255,7.58621889328441,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.837541884063,48.1675083768126,"Degraded"
"CHGX-537-R-1111","VERYNARROW","MIEGLE_2020",121,1,5.78512396694215,7.43801652892562,67.7685950413223,0.826446280991736,11,3.44827586206897,14.8760330578512,49.5867768595041,20.6611570247934,36.3636363636364,10,0,17.2413793103448,1,9.91735537190083,0.826446280991736,0.826446280991736,0,37.9310344827586,0,26.4462809917355,6,18,15.702479338843,NA,NA,91.2517666443345,93.5315879235857,NA,NA,100,NA,NA,NA,NA,60.4743083003953,100,25.792152956122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.049815824437,78.5083026374062,"Very good"
"CHGX-546-R-1111","VERYNARROW","MIEGLE_2020",129,0,9.30232558139535,3.10077519379845,75.1937984496124,0,11,11.1111111111111,17.0542635658915,54.2635658914729,19.3798449612403,24.8062015503876,8,0,25.9259259259259,3,8.52713178294574,0.775193798449612,5.42635658914729,0,40.7407407407407,0,19.3798449612403,6,16,20.9302325581395,NA,NA,97.4637994932706,100,NA,NA,98.5766106773914,NA,NA,NA,NA,44.6640316205534,100,48.8097692179325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,489.514211009148,81.585701834858,"Very good"
"CHGX-648-S-1111","VERYNARROW","MIEGLE_2020",116,1,2.58620689655172,1.72413793103448,68.9655172413793,0.862068965517241,9,11.1111111111111,27.5862068965517,63.7931034482759,24.1379310344828,29.3103448275862,13,0,29.6296296296296,3,12.0689655172414,0.862068965517241,2.58620689655172,0.862068965517241,33.3333333333333,0,29.3103448275862,8,16,23.2758620689655,NA,NA,99.4354942265333,95.2946195925458,NA,NA,98.5766106773914,NA,NA,NA,NA,84.1897233201581,100,58.6261055648811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,536.12255338151,89.3537588969183,"Very good"
"EBUX-435-S-1111","VERYNARROW","MIEGLE_2020",137,0,12.4087591240876,13.8686131386861,71.5328467153285,0,11,2.7027027027027,10.9489051094891,59.8540145985401,42.3357664233577,27.007299270073,15,0,27.027027027027,1,9.48905109489051,0,0.72992700729927,13.1386861313869,29.7297297297297,0,31.3868613138686,5,25,43.0656934306569,NA,NA,82.0415165587423,99.076221410117,NA,NA,100,NA,NA,NA,NA,100,100,51.7281394832415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,532.845877452101,88.8076462420168,"Very good"
"EBUX-534-X-1111","VERYNARROW","MIEGLE_2020",116,0,1.72413793103448,47.4137931034483,69.8275862068966,0,13,5.26315789473684,48.2758620689655,13.7931034482759,6.03448275862069,81.0344827586207,4,0,10.5263157894737,1,3.44827586206897,0,0.862068965517241,0,68.4210526315789,0,25.8620689655172,4,10,6.03448275862069,NA,NA,33.9962860162586,96.564422163642,NA,NA,100,NA,NA,NA,NA,13.0434782608696,100,7.99447598588308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.598662426653,58.5997770711089,"Good"
"EBUX-535-X-1111","VERYNARROW","MIEGLE_2020",119,0,4.20168067226891,8.40336134453782,26.890756302521,0,14,4,7.56302521008403,16.8067226890756,10.9243697478992,78.9915966386555,7,0,12,1,0.840336134453782,0,2.52100840336134,0,56,0,66.3865546218487,5,13,10.9243697478992,NA,NA,89.869147315185,33.319717635176,NA,NA,100,NA,NA,NA,NA,36.7588932806324,100,11.9003445534058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,371.848102784399,61.9746837973999,"Good"
"EBUX-536-X-1111","VERYNARROW","MIEGLE_2020",122,0,3.27868852459016,2.45901639344262,32.7868852459016,0,14,4.16666666666667,4.0983606557377,25.4098360655738,20.4918032786885,71.3114754098361,6,0,16.6666666666667,1,2.45901639344262,0,3.27868852459016,0,58.3333333333333,0,59.0163934426229,4,12,21.3114754098361,NA,NA,98.3829613385239,42.0045444776869,NA,NA,100,NA,NA,NA,NA,28.8537549407115,100,24.268928350561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,393.510189107483,65.5850315179139,"Good"
"EBUX-537-X-1111","VERYNARROW","MIEGLE_2020",112,0,0.892857142857143,1.78571428571429,43.75,0,7,5.88235294117647,1.78571428571429,41.0714285714286,29.4642857142857,58.0357142857143,9,0,29.4117647058824,1,6.25,0,1.78571428571429,0.892857142857143,41.1764705882353,0,47.3214285714286,4,11,29.4642857142857,NA,NA,99.3473012235544,58.1528943879806,NA,NA,100,NA,NA,NA,NA,52.5691699604743,100,58.0486740150606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468.11803958707,78.0196732645116,"Very good"
